,URL,percent_skin_SkinLikelihood_6,percent_skin_abg,percent_skin_cbcr,percent_skin_cccm,percent_skin_equalized_abg,percent_skin_equalized_cbcr,percent_skin_equalized_cccm,percent_skin_adapt_abg,percent_skin_adapt_cbcr,percent_skin_adapt_cccm,label_number,area_covered_max,area_covered_mode,density_max,density_mode,hwratio_max,hwratio_mode,density_hull_max,density_hull_mode,circularity_max,circularity_mode
207,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10514134_257228791144182_876971373_n.jpg,0.03354736328125,0.06264404296875,0.14796142578125,-1.0,0.01933837890625,0.1659765625,0.016865234375,0.09704345703125,0.1848486328125,0.0742919921875,5.0,0.00306640625,0.00017822265625,0.9948586118251928,0.5342465753424658,2.676796135813562,1.539841102904547,0.9005847953216374,0.6325203252032521,0.9275975883451624,0.7604319218636816
208,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/925917_732840046776468_426941778_n.jpg,0.11095703125,0.2066064453125,0.15468994140625,-1.0,0.241328125,0.410791015625,0.2175390625,0.36560791015625,0.34018798828125,0.359716796875,8.0,0.00740966796875,0.0001904296875,0.8567708333333334,0.6025641025641025,3.9683524373891137,1.1928949244459224,0.8888888888888888,0.43302047781569963,0.9677288625887996,0.5452141525650296
209,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/1941232_1400200100240977_424112394_n.jpg,0.1932421875,0.04046142578125,0.14521728515625,-1.0,0.26275634765625,0.34151123046875,0.4394873046875,0.5157421875,0.450732421875,0.57168212890625,1.0,0.00059814453125,0.00059814453125,0.7387755102040816,0.7387755102040816,2.2997748112238847,2.2997748112238847,0.7291666666666666,0.7291666666666666,0.9005148868396788,0.9005148868396788
210,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/924893_646106578770669_1568303105_n.jpg,0.22756591796875,0.29546875,0.3217431640625,-1.0,0.3449609375,0.5218212890625,0.440625,0.639443359375,0.68507080078125,0.513291015625,4.0,0.0456884765625,0.000205078125,0.9998505901688332,0.5253807106598984,4.4831808173179,1.6262179166081998,0.8842105263157894,0.5459159859976663,0.9748056517663293,0.78858658149064
211,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/1725322_467500733377075_1643175736_n.jpg,0.12955810546875,0.145703125,0.2087548828125,-1.0,0.17900146484375,0.35616455078125,0.2320458984375,0.28157470703125,0.3956884765625,0.27521240234375,3.0,0.003173828125,0.000205078125,0.9992307692307693,0.7976190476190477,3.7231041405601513,2.7489665213873997,0.84,0.7894736842105263,0.9632537353002557,0.931487601158033
212,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/917471_1467287546820276_1173214483_n.jpg,0.0470751953125,0.11900390625,0.21479736328125,-1.0,0.01603515625,0.23830322265625,0.01078857421875,0.1082080078125,0.2398583984375,0.0754638671875,4.0,0.00906005859375,0.00140380859375,0.9964969011048235,0.9739130434782609,3.132890943120413,1.2287890812763849,0.9448653198653199,0.5588855421686747,0.9476893946185013,0.5811319983435386
213,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/928453_802306073130384_1281437778_n.jpg,0.12103515625,0.18232666015625,0.2422314453125,-1.0,0.19788818359375,0.37829833984375,0.23145751953125,0.29322509765625,0.40819580078125,0.36602294921875,11.0,0.02027587890625,0.00013916015625,0.9888888888888889,0.6842900302114804,6.352407679968989,1.3417941586408555,0.9701492537313433,0.46568627450980393,0.9875316431345224,0.6667619075675777
214,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage1/t0.0-17/OBPTH/92ad56f0991311e3b819126780c3fce1_8.jpg,0.11192138671875,0.1022314453125,0.18337646484375,-1.0,0.12815185546875,0.3451318359375,0.10958251953125,0.21370849609375,0.29570068359375,0.2343896484375,10.0,0.020419921875,0.00012939453125,0.9833333333333333,0.5486609277857485,4.308296712099928,1.0627833476848803,0.956989247311828,0.4410958904109589,0.9726894741876625,0.33861352585941484
215,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/1723647_589128307844923_807201838_n.jpg,0.09623046875,0.17397705078125,0.33926025390625,-1.0,0.12007568359375,0.361591796875,0.0897216796875,0.25923095703125,0.3739404296875,0.2092822265625,8.0,0.05923095703125,0.0001611328125,0.9873949579831933,0.6666666666666666,4.68376169228385,1.12303790399419,0.9140625,0.5204324602612781,0.9769422763004129,0.45509694644169935
216,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/1738308_532991250147782_1295581178_n.jpg,0.05188232421875,0.0329296875,0.06070068359375,-1.0,0.15061279296875,0.27366455078125,0.15986083984375,0.1952392578125,0.399638671875,0.294501953125,1.0,0.00058837890625,0.00058837890625,0.8298755186721992,0.8298755186721992,1.663015511991635,1.663015511991635,0.8141891891891891,0.8141891891891891,0.7990103271758863,0.7990103271758863
217,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/1740271_1464913567055422_1099242997_n.jpg,0.0766650390625,0.31251220703125,0.2105859375,-1.0,0.102314453125,0.39592529296875,0.07320556640625,0.284267578125,0.38502685546875,0.166123046875,6.0,0.01216064453125,0.00014404296875,0.9973244147157191,0.6101694915254238,4.599527043579334,1.2341712250304755,0.8002406738868832,0.550351288056206,0.9760795568387937,0.5860701124533724
218,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/1530610_424056714393060_418926143_n.jpg,0.1021337890625,0.2398876953125,0.34227783203125,-1.0,0.185458984375,0.43895751953125,0.18156982421875,0.277958984375,0.4753125,0.2288671875,3.0,0.00680419921875,0.00025146484375,0.9979892761394102,0.941747572815534,2.8178152095171614,1.6401382006716185,0.7923076923076923,0.5245623941276115,0.9349100090885059,0.792628637001847
219,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/925771_278525875630256_633315142_n.jpg,0.1310400390625,0.225234375,0.343515625,-1.0,0.1054638671875,0.11380615234375,0.49851318359375,0.588212890625,0.79912109375,0.47887939453125,22.0,0.04043701171875,0.0001708984375,0.9951690821256038,0.6470588235294118,9.502543454453033,1.0299641534025037,0.9861111111111112,0.5085227272727273,0.9944473833885424,0.2394545426831505
