,URL,N_area_greater_HardCutoff,N_area_greater_floor,N_skin_pix_filled_greater_floor,N_amt_horiz_vert_lines_less_ceil,N_hull_filled_greater_floor,percent_area_gr_HardCutoff,percent_area_gr_floor,percent_area_skinpix_gr_floor,percent_area_horiz_vert_less_ceil,percent_area_hull_filled_gr_floor
71,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/10554123_790554114322909_1231189736_n.jpg,21.0,0.0,3.0,0.0,2.0,0.01214599609375,0.0,0.00290771484375,0.0,0.00173583984375
72,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/927740_705037772884023_975390278_n.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/10471773_659142960842054_492512213_n.jpg,9.0,0.0,3.0,0.0,0.0,0.00431640625,0.0,0.0017724609375,0.0,0.0
74,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/914409_1499363033632331_384436499_n.jpg,7.0,0.0,0.0,0.0,0.0,0.00335693359375,0.0,0.0,0.0,0.0
75,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/927966_804578909575875_1711932184_n.jpg,9.0,0.0,1.0,0.0,0.0,0.00394287109375,0.0,0.001279296875,0.0,0.0
76,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10387985_1438094046440489_657258258_n.jpg,13.0,0.0,1.0,0.0,7.0,0.01172119140625,0.0,0.00224609375,0.0,0.006630859375
77,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/1168760_237982786409762_198149427_n.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,http://scontent-b.cdninstagram.com/hphotos-xpf1/t51.2885-15/10369499_1485726261656472_340900588_n.jpg,25.0,0.0,6.0,0.0,4.0,0.01364501953125,0.0,0.00382080078125,0.0,0.00262939453125
79,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/10362169_312824648874270_1387747517_n.jpg,8.0,0.0,1.0,0.0,2.0,0.0072998046875,0.0,0.0004443359375,0.0,0.0024072265625
80,http://scontent-b.cdninstagram.com/hphotos-prn/t51.2885-15/10299693_311963692291615_2027907019_n.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
